daily_contents
dayNumber,word,meaning,sentence1,adminSource,adminPage,sentence2,sentence3,situation,similarWord
11,공치사,자신이 한 일을 과하게 드러내며 생색냄.,내가 워런을 크게 계몽시켰다는 생각에는 약간의 허구가 있다고 생각한다. 그는 그다지 계몽이 필요하지 않았다. 솔직히 나는 내가 과도한 공치사를 받았다고 믿는다.,실패를 통과하는 일,125,"처음엔 농담처럼 들렸던 말도 반복되자, 그는 점점 자신의 영향력을 부풀리는 공치사로 받아들이게 됐다.","상사는 결과를 공유하는 자리에서 공치사를 삼가고, 각자의 기여를 분명히 나누는 쪽이 팀 분위기를 지키는 데 낫다고 말했다.","성과 평가, 협업 관계, 조직 문화처럼 공과 책임의 균형을 이야기할 때 적절해요.

","생색, 자기과시, 자화자찬
"
12,기우,실제로는 그럴 가능성이 크지 않은데도 혼자 앞서서 하는 쓸데없는 걱정이나 염려를 말한다.,"이벤트 참가비는 낮게는 2만~3만원, 비싸게는 10만~20만 원을 넘었고, 평균 5만~7만 원 선이었음. ‘이 돈을 내면서 올 사람이 있을까?’라고 걱정했던 것은 기우였음. 오프라인 이벤트는 가장 먼저 팔렸고 대부분 매진이었음.",,82,"출시 초기에 사용자가 너무 적을까 걱정했지만, 예상보다 빠르게 반응이 모이면서 그 불안은 결국 기우였다는 게 드러났다.","처음엔 낯선 방식이라 거부감이 클 거라 봤지만, 막상 적용해 보니 사용자 적응 속도가 빨라 괜한 기우였다는 말이 나왔다.","사전 걱정과 실제 결과를 대비해 회고하거나 정리할 때 쓰면 자연스러워요.

","공연한 걱정, 헛걱정
"
13,골자,여러 내용 가운데에서 가장 핵심이 되는 요지나 뼈대를 말한다.,이 보고서가 주장하는 골자는 두 가지임.,,63,"인터뷰 내용을 정리해 보니, 창업 당시부터 지금까지 변하지 않은 골자는 사람에 대한 신뢰였다.","이 제안서의 골자는 기능을 늘리는 게 아니라, 사용자가 가장 자주 쓰는 흐름을 단순화하자는 데 있다.",보고서·회의·정리 글처럼 복잡한 내용을 한 문장으로 요약할 때 쓰기 좋아요.,"요지, 핵심, 요점
"
14,소구점,"대상의 관심이나 행동을 끌어내는 핵심 매력 요소, 즉 선택을 유도하는 포인트.","두 번째 이유는, 채용담당자의 일손을 최대한 줄여준다는 소구점이 먹혔기 때문임.",,35,"광고 문구를 바꾸면서 여러 장점을 나열하기보다, 타깃에게 가장 절실한 한 가지 소구점에 집중했다.","광고 문구를 바꾸면서 여러 장점을 나열하기보다, 타깃에게 가장 절실한 한 가지 소구점에 집중했다.이 서비스의 가장 강력한 소구점은 기능의 다양성이 아니라, 처음 써보는 사람도 바로 이해할 수 있는 단순한 화면 구성이다.","기획서·마케팅·서비스 소개처럼 선택 이유를 설명해야 할 때 쓰면 정확해요.


","강점, 매력 포인트, 차별 요소, 핵심 가치
"
15,부감하다,어떤 대상이나 상황을 위에서 내려다보듯 넓은 시야로 전체를 살펴보다. 시간·맥락·흐름을 종합적으로 바라보는 의미로도 쓰인다.,"젊은 시절에는 그걸로 잘 풀렸더라도, 또한 어느 기간에 그런 방식으로 뛰어난 작품을 써냈더라도, 긴 스팬을 두고 부감해보면 시간의 경과와 함께 작품이 점점 묘하게 비쩍 마른 듯한 느낌이 듭니다.",직업으로서의 소설가,169,"작품 하나하나는 인상적이지만, 작가의 작업을 장기적으로 부감하면 반복되는 패턴과 한계도 함께 보인다.","그는 자신의 커리어를 부감해보며, 가장 바빴던 시기가 꼭 가장 성장한 시기는 아니었다고 말했다.","시간의 흐름이나 구조를 장기적·전체적으로 평가할 때 쓰면 깊이가 살아나요.
","조망하다, 개관하다, 통찰하다
"
16,아연하다,예상하지 못한 일이나 말에 너무 놀라거나 어이가 없어 한동안 말이나 반응이 나오지 않는 상태를 뜻한다.,시간이 있었으면 좀 더 잘 썼을 텐데. 나는 소설 쓴느 친구가 그런 말을 하는 것을 듣고 정말 깜짝 놀랐다. 지금도 그 일을 떠올리면 아연해진다.,,168,"그렇게 쉽게 결정했다는 말을 듣는 순간, 상황의 무게를 전혀 인식하지 못한 태도에 잠시 아연해져 아무 말도 하지 못했다.","그는 결과를 설명하면서 아무렇지 않게 웃었지만, 그 말에 담긴 책임 회피를 깨닫는 순간 나는 꽤 아연한 기분이 들었다","말이나 행동이 상식·기대에서 크게 벗어났을 때의 순간적 반응을 표현할 때 적절해요.

","어안이 벙벙하다, 망연자실하다
"
17,상성,"두 사람·대상·요소가 만났을 때 서로 잘 맞는지, 혹은 충돌하는지를 가늠하는 궁합이나 궁합의 성질.","인간적으로는 나쁘지 않고, 다른 작가에게는 좋은 편집자였는지도 모르나 단지 내 작품의 편집자로서는 상성이 별로 좋지 않았던 것 같다, 라는 이야기 입니다.",,160,"능력이나 성실함과는 별개로, 우리 둘은 일하는 방식에서 상성이 맞지 않아 협업할수록 피로가 쌓였다.","그는 누구와도 무난하게 지내는 편이었지만, 이상하게 그 상사와만은 상성이 잘 맞지 않는다고 느꼈다.","사람·도구·전략처럼 서로의 조합 효과를 평가할 때 유용해요.
","궁합, 조합, 케미(구어), 적합성
"
18,통감하다,"어떤 사실이나 감정을 속으로 깊이 깨닫고 절실하게 느끼다는 뜻으로, 뒤늦은 인식이나 자각을 담을 때 자주 쓰인다.","첫 소설 [바람의 노래를 들어라]를 쓰려고 했을 때, ‘이건 뭐, 아무것도 쓸 게 없다는 것을 쓰는 수밖에 없겠다’라고 통감했습니다.",,131,"문제를 남의 일처럼 보다가 막상 같은 상황에 놓이자, 그 무게가 얼마나 큰지 통감하게 됐다.",현장을 직접 경험해 보니 문서로만 이해했던 한계가 얼마나 컸는지 통감할 수밖에 없었다.,"경험을 통해 뒤늦게 얻은 깊은 깨달음을 말할 때 적절해요.
","절감하다, 뼈저리게 느끼다, 자각하다
"
19,준민하다,"감각이나 판단, 움직임이 날카롭고 빠르며 상황 변화에 즉각적으로 반응하는 상태를 말한다. 주로 사고력·기민함을 강조할 때 쓰인다.","전쟁이나 혁명이나 굶주림 같은 묵직한 주제를 다루지 않는다면(다루지 못한다면) 필연적으로 보다 가벼운 소재를 다루게 될 것이고, 그러기 위해서는 경량이지만 준민하고 기동력이 뛰어난 비이클이 반드시 필요합니다.",,132,"시장 변화가 잦은 환경에서는 완벽한 계획보다도, 상황을 빠르게 읽고 대응하는 준민한 판단력이 훨씬 큰 힘을 발휘한다.","팀이 작을수록 의사결정 구조가 단순해져, 결과적으로 더 준민하게 움직일 수 있는 여지가 커진다.","변화가 빠른 환경에서의 판단·대응 능력을 평가할 때 잘 어울려요.
","기민하다, 민첩하다, 날렵하다
"
20,기동력,상황에 맞게 빠르게 움직이고 방향을 전환할 수 있는 능력. 물리적 이동뿐 아니라 의사결정·조직 운영·사고 전환에도 쓰인다.,"내 생각에는(이라고 할까, 그렇기를 바라는 것인데) 그런 자유롭고 내추럴한 감각이야말로 내가 쓰는 소설의 밑바탕에 자리한 것입니다. 그것이 기동력이었습니다.",,109,"개인 작업에서도 여유 시간을 확보해 두면, 갑작스러운 아이디어를 바로 실행할 수 있는 기동력이 생긴다.","그는 완벽한 준비보다 일단 시작하고 조정하는 방식을 선호하는데, 그 태도가 작업 전반의 기동력을 높였다.","조직·프로젝트·개인 작업에서 빠른 대응과 전환 능력을 설명할 때 효과적이에요.
","민첩성, 기민함, 유연성
"
21,무연하다,"어떤 대상이나 개념과 아무런 관련이나 인연이 없다, 서로 연결되지 않은 상태를 뜻한다.","그리고 사람들은 그 ‘형태’에 눈길을 던질 수 있습니다. 문학성과는 무연한 그러한 형식주의가, 또한 ‘상을 줄 테니 이곳까지 받으러 나오시오’라는 권위 측의 ‘위에서 내려다보는 시선’이, 챈들러나 올그런을 필요 이상으로 화나게 했던 게 아니겠습니까. ",,73,"이 기획은 겉보기엔 세련됐지만, 실제 사용자 경험과는 무연한 방향으로 설계돼 현장에서 활용도가 떨어졌다.","기술적으로는 진보했을지 몰라도, 사람의 감정과는 무연한 접근이라는 인상을 지울 수 없었다.","겉과 속, 의도와 결과처럼 연결되지 않은 관계를 비판적으로 지적할 때 유용해요.
","무관하다, 관련 없다, 동떨어지다
"
22,적확하다,상황이나 대상에 딱 맞게 정확하고 알맞다. 사실·표현·판단이 어긋나지 않고 핵심을 찌른 상태를 말한다.,"짧은 문장을 조합하는 리듬감, 번거롭게 배배 꼬지 않는 솔직한 말투, 자신의 감정이 담기지 않은 적확한 묘사. 그러면서도 뭔가 아주 중요한 것을 일부러 쓰지 않고 깊숙이 감춰둔 듯한 수수께끼 같은 분위기.",,51,과장된 수식 없이 핵심만 담아낸 적확한 문장은 오히려 메시지를 더 또렷하게 만든다.,"이 설명이 설득력을 얻은 이유는 감정을 덜어내고, 현재 상황에 꼭 맞는 적확한 근거만 제시했기 때문이다.",평가·피드백·묘사처럼 정확성이 신뢰를 좌우하는 맥락에서 효과적이에요.,"정확하다, 정확무오하다, 정밀하다
"
23,부침이 있다,"상황이나 성과가 잘될 때와 어려울 때가 번갈아 나타나다, 일정하지 않고 오르내림이 있다는 뜻이다.","여전히 빚이 남았고 시기에 따라 매출에 부침도 있고, 물론 간단히 마음을 놓을 수는 없었지만, 이대로 열심히 하다 보면 뭐 그럭저럭 괜찮게 풀려나가겠다는 분위기까지는 도달했습니다.",,43,"이 사업은 초기 반응은 좋았지만, 계절과 시장 상황에 따라 매출에 부침이 있어 장기 계획을 보수적으로 세울 수밖에 없었다.","관계에도 부침이 있다는 걸 인정하고 나니, 매번 흔들릴 때마다 스스로를 몰아붙이지 않게 됐다.","사업·성과·관계처럼 시간 흐름 속 변화를 담담하게 설명할 때 잘 어울려요.
","기복이 있다, 변동이 있다, 오르내림이 있다
"
24,세간,"일반 사람들 사이, 또는 사회 전반에서 떠도는 평판·여론·통념을 가리키는 말이다.",물론 직업적인 소설가 중에도 천재라고 불리는 사람이 있습니다. 두뇌 명석한 사람도 있습니다. 다만 세간에서 말하는 두뇌의 명석함뿐만 아니라 소설적으로도 머리가 좋은 사람입니다. ,,27,"세간의 기준에 맞추기보다, 스스로 납득할 수 있는 방식으로 일하는 태도를 그는 더 중요하게 여겼다.","이 작품은 세간의 기대와는 다른 방향으로 전개되지만, 그 선택이 오히려 이야기의 밀도를 높였다.","개인의 판단과 사회적 인식이나 통념을 대비할 때 쓰면 효과적이에요.
","대중, 일반 사회, 여론
"
25,기민함,상황 변화를 빠르게 감지하고 즉각적이면서도 정확하게 대응하는 능력이나 성질을 말한다.,"좀 더 정확히 표현하자면, 효율성 떨어지는 우회하기와 효율성 뛰어난 기민함이 앞면과 뒷면이 되어서 우리가 사는 이 세계가 중층적으로 성립합니다.",,24,"기획 단계에서 모든 걸 예측할 수 없기에, 실행 과정에서의 기민함이 결국 성패를 가른다.",그는 복잡한 설명 없이도 상대의 의도를 빠르게 읽어내는 기민함 덕분에 협상이 수월했다.,변화·위기·협업처럼 빠른 판단과 대응이 요구되는 맥락에서 효과적이에요.,"민첩성, 준민함, 날렵함
"
26,재기,"생각이나 표현, 발상이 새롭고 기발하며 기운이 넘치는 성질을 말한다. 주로 창작물이나 아이디어의 신선함을 평가할 때 쓰인다.",그들이 써낸 작품은 대부분의 경우 ‘아주 잘빠진’ 재기 넘치는 소설이었습니다.,,22,"그의 글은 문장이 화려하지는 않아도, 관점을 살짝 틀어내는 재기가 있어 읽는 재미가 살아난다.","회의에서 나온 여러 아이디어 중에서도, 문제를 다른 각도로 풀어낸 재기 있는 제안이 곧바로 논의를 이끌었다.","글·기획·아이디어처럼 새로움이 가치가 되는 대상을 평가할 때 적절해요.
","기발함, 참신함, 신선함
"
27,에둘러 가다,"어떤 대상이나 결론에 곧바로 이르지 않고, 간접적이거나 우회적인 방식으로 접근하다는 뜻이다.","소설가는 많은 경우, 자신의 의식 속에 있는 것을 ‘스토리’라는 형태로 치환해서 표현하려고 합니다. 이건 상당히 멀리 에둘러 가는, 손이 많이 가는 작업입니다. ",,20,"상처가 될 수 있는 지적이라면 직설적으로 말하기보다, 상대를 배려해 에둘러 가는 표현이 더 적절할 때도 있다.","이 작품은 메시지를 노골적으로 드러내지 않고, 여러 장면을 거쳐 에둘러 가는 방식으로 독자의 해석을 유도한다.","감정·비판·메시지를 부드럽게 전달하거나 해석의 여지를 남기고 싶을 때 적합해요.
","우회하다, 빙 돌아가다, 완곡하게 말하다
"
28,냉엄하다,"현실이나 평가가 정에 휘둘리지 않고 매우 엄격하고 가혹하다는 뜻으로, 감정이 배제된 상태를 강조할 때 쓰인다.
","하지만 어찌 됐건 소설가로 계속 살아남는다는 것이 얼마나 냉엄한 일인지, 소설가는 뼈저리게 잘 알고 있습니다.",,17,"기회가 자주 오는 것처럼 보여도, 실제로 선택받는 사람은 극히 일부라는 점에서 경쟁은 냉엄하다.","스스로에 대한 평가는 때로 위로보다, 냉엄한 기준이 있어야 다음 단계를 준비할 수 있다.",업계·경쟁·평가처럼 현실의 엄격함을 강조할 때 적절해요.,"가혹하다, 엄정하다, 엄격하다
"
29,면구스럽다,자신의 말이나 행동이 스스로 보기에 부끄럽고 낯간지러워서 조심스럽다는 느낌을 나타내는 말이다. 겸손이나 머쓱함이 함께 담긴다.,"재능이 좀 있는 사람이라면 처음부터 뛰어난 작품을 써내는 것도 불가능하지 않습니다. 내 경우를 실례로 들고 나서는 건 약간 면구스럽기는 한데, 이를테면 나만 해도 소설을 쓰기 위한 훈련이라고는 전혀 받아본 적이 없습니다. ",,15,"성과를 소개해 달라는 요청을 받았을 때, 자랑처럼 들릴까 봐 면구스러운 마음이 먼저 들었다.","직접 경험을 예로 들며 설명하는 게 이해에는 도움이 되겠지만, 자기 이야기를 꺼내는 게 다소 면구스러워 잠시 망설이게 된다.","자기 사례·성과·의견을 말할 때 겸손하게 운을 뗄 필요가 있을 때 적절해요.
","민망하다, 송구스럽다, 낯간지럽다
"
30,필적하다,"어떤 대상이 다른 대상과 비교했을 때 그 수준이나 가치가 거의 같거나 맞먹다는 뜻이다.
",영국의 과학 저널 [네이처]는 과학 분야의 화제에 관한 위키피디아의 정확성은 전문가가 편집하는 브리태니커 백과사전에 필적한다고 보도했습니다.,컨셉 언어 수업,77,"이 서비스의 안정성은 출시 초기임에도 불구하고, 이미 시장에 자리 잡은 경쟁사 제품에 필적할 만큼 탄탄하다.","그의 경험치는 공식적인 경력 연수로 따지면 짧지만, 현장 이해도만큼은 베테랑에 필적한다.","두 대상의 수준이나 가치를 객관적으로 비교·평가할 때 적합해요.
","맞먹다, 버금가다, 대등하다
"
31,자못,"생각보다 꽤나, 제법, 상당히라는 뜻으로, 정도가 예상보다 크거나 인상적임을 부드럽게 강조할 때 쓰인다.",앨런 케이는 거기서 그치지 않고 사람들이 다이나북을 앞으로 어떻게 이용할지 자못 구체적으로 상상했습니다.,,42,"기대치를 낮추고 읽기 시작했지만, 내용이 자못 탄탄해 끝까지 집중하게 됐다.","막연할 거라 생각했던 계획이 실제로는 자못 구체적으로 정리돼 있어, 바로 실행해도 되겠다는 느낌을 받았다.",기대보다 수준이나 정도가 높을 때 사용해요.,"제법, 꽤, 상당히
"
32,안이하다,"사안을 깊이 따져보지 않고 쉽게 생각하거나, 위험과 복잡성을 가볍게 여기는 태도를 뜻한다.",안이하게 돈을 벌려고 생각하는 자에게는 결코 새로운 가능성이 찾아오지 않는다는 것을 [세 개의 빵]은 말해주고 있다.,유대인의 비즈니스,58,일정이 조금 밀려도 괜찮을 거라는 안이한 생각이 결국 전체 계획을 흔들어 놓았다.,위기 신호를 여러 번 봤음에도 안이하게 넘긴 태도가 상황을 더 어렵게 만들었다.,판단·대응·태도를 비판적으로 돌아볼 때 적합해요.,"느슨하다, 방심하다
"
33,유구하다,"아주 오래도록 이어져 오다, 시간의 길이가 깊고 끊임없음을 강조하는 말이다.","-시간의 경과를 재는 기술은 인간의 필요에 의해 개발되었지만 시간 그 자체는 인간을 뛰어넘어 유구히 흐르고 있다.

-다만 인류가 다른 생물과 다른 점이 있다면 시간을 의식하며 행동한다는 점이다. 인류는 유구한 시간 속에서 ‘영원’에 대해 생각할 수 있는 능력을 지녔다.",,47,"가족의 식사 시간은 겉보기엔 사소해 보여도, 세대를 거쳐 유구하게 이어진 약속에 가깝다.","기록으로 남지 않은 이야기들도, 입에서 입으로 전해지며 유구한 시간 속에서 형태를 바꿔왔다.","시간의 흐름이나 전통·가치처럼 오래 지속된 대상을 말할 때 적절해요.
","오래되다, 장구하다, 면면하다
"
34,지엽적,"전체나 본질과는 거리가 있고, 부분적이거나 중요하지 않은 성격의 것.",친구를 사귀는 것도 내가 만들 수 있는 운의 범위에서 상당히 지엽적인 범주에서 일어난다.,,,"처음에는 사소한 조건이 중요해 보였지만, 선택을 돌아보니 그 기준은 결정에 큰 의미가 없던 지엽적 요소였다.","문제의 원인을 설명하면서 지엽적인 사례에만 매달리다 보니, 정작 구조적인 문제와 핵심 쟁점은 논의의 중심에서 벗어나 버렸다.",핵심과 대비해 중요도가 낮은 요소를 구분할 때 적합해요.,"부차적이다, 사소하다
"
35,기탄없이,어려움이나 거리낌이 없이.,~에 끼친 영향에 대해 기탄없이 대화를 나누었다.,괴테는 모든 것을 말했다,,,,,
36,걸출하다,남보다 훨씬 뛰어나다.,"입체주의는 근대미술의 아버지라고 일컫는 폴 세잔이 선구자적 역할을 했고, 조르주 브라크와 피카소라는 걸출한 쌍두마차의 재능으로 이루어졌다.",피카소,44,,,,
